backen	bäckst/bäckt	backte/buk	gebacken	bake
verlieren	verlierst/verliert	verlor	verloren	lose
verschleißen	verschleißt/verschleißt	verschliß	verschlissen	wear out
wachsen	wächst/wächst	wuchs	gewachsen	grow
wägen	wägst/wägt	wog	gewogen	weigh
waschen	wäschst/wäscht	wusch	gewaschen	wash
weben	webst/webt	webte	gewebt	weave
weichen	weichst/weicht	wich	gewichen	yield
weisen	weist/weist	wies	gewiesen	how
wenden	wendest/wendet	wandte	gewandt	turn
werben	wirbst/wirbt	warb	geworben	win
werden	wirst/wirt	wurde	(ge)worden	become
werfen	wirfst/wirft	warf	geworfen	throw
wiegen	wiegst/wiegt	wog	gewogen	weigh
winden	windest/windet	wand	gewunden	wind
winken	winkst/winkt	winkte	gewinkt	wave
wissen	weiß/weißt/weiß	wußte	gewußt	know
wollen	will/willst/will	wollte	gewollt	want
wringen	wringst/wringt	wrang	gewrungen	wring
zeihen	zeihst/zeiht	zieh	geziehen	accuse
ziehen 	ziehst/zieht	zog	gezogen	pull
zwingen	zwingst/zwingt	zwang	gezwungen	compel
